year;sep;pa
2023.0;0.67;262.9
2024.0;0.68;263.6
2025.0;0.68;264.4
2026.0;0.68;265.1
2027.0;0.68;265.9
2028.0;0.69;266.6
2029.0;0.69;267.4
2030.0;0.69;268.1
2031.0;0.69;268.8
2032.0;0.69;269.5
2033.0;0.7;270.3
2034.0;0.7;271.0
2035.0;0.7;271.7
2036.0;0.7;272.4
2037.0;0.7;273.1
2038.0;0.7;273.8
2039.0;0.7;274.5
2040.0;0.71;275.2
2041.0;0.71;275.9
2042.0;0.71;276.6
2043.0;0.71;277.3
2044.0;0.71;278.0
2045.0;0.71;278.7
2046.0;0.71;279.4
2047.0;0.71;280.0
2048.0;0.71;280.7
2049.0;0.71;281.4
2050.0;0.71;282.1
2051.0;0.71;282.8
2052.0;0.71;283.5
2053.0;0.71;284.1
2054.0;0.71;284.8
2055.0;0.71;285.5
2056.0;0.71;286.2
2057.0;0.71;286.9
2058.0;0.71;287.6
2059.0;0.71;288.2
2060.0;0.71;288.9
2061.0;0.71;289.6
2062.0;0.71;290.3
2063.0;0.71;291.0
2064.0;0.71;291.7
2065.0;0.71;292.3
2066.0;0.71;293.0
2067.0;0.71;293.7
2068.0;0.71;294.4
2069.0;0.71;295.1
2070.0;0.71;295.8
2071.0;0.71;296.5
2072.0;0.7;297.2
2073.0;0.7;297.9
2074.0;0.7;298.6
2075.0;0.7;299.3
2076.0;0.7;300.0
2077.0;0.7;300.7
2078.0;0.7;301.4
2079.0;0.7;302.1
2080.0;0.7;302.9
2081.0;0.7;303.6
2082.0;0.69;304.3
2083.0;0.69;305.0
2084.0;0.69;305.7
2085.0;0.69;306.5
2086.0;0.69;307.2
2087.0;0.69;307.9
2088.0;0.69;308.7
2089.0;0.69;309.4
2090.0;0.68;310.1
2091.0;0.68;310.9
2092.0;0.68;311.6
2093.0;0.68;312.4
2094.0;0.68;313.1
2095.0;0.68;313.9
2096.0;0.68;314.6
2097.0;0.67;315.4
2098.0;0.67;316.2
2099.0;0.67;316.9
2100.0;0.67;317.7
2101.0;0.67;318.5
2102.0;0.67;319.2
2103.0;0.67;320.0
2104.0;0.67;320.8
2105.0;0.67;321.6
2106.0;0.66;322.4
2107.0;0.66;323.2
2108.0;0.66;324.0
2109.0;0.66;324.8
2110.0;0.66;325.5
2111.0;0.66;326.3
2112.0;0.66;327.1
2113.0;0.66;328.0
2114.0;0.66;328.8
2115.0;0.65;329.6
2116.0;0.65;330.4
2117.0;0.65;331.2
2118.0;0.65;332.0
2119.0;0.65;332.8
2120.0;0.65;333.6
2121.0;0.65;334.5
2122.0;0.65;335.3
2123.0;0.65;336.1
2124.0;0.65;336.9
2125.0;0.65;337.8
2126.0;0.65;338.6
2127.0;0.65;339.4
2128.0;0.65;340.2
2129.0;0.65;341.1
2130.0;0.65;341.9
2131.0;0.65;342.7
2132.0;0.65;343.6
2133.0;0.65;344.4
2134.0;0.65;345.2
2135.0;0.65;346.1
2136.0;0.65;346.9
2137.0;0.65;347.7
2138.0;0.65;348.6
2139.0;0.65;349.4
2140.0;0.65;350.2
2141.0;0.65;351.1
2142.0;0.65;351.9
2143.0;0.65;352.7
2144.0;0.65;353.5
2145.0;0.65;354.4
2146.0;0.65;355.2
2147.0;0.65;356.0
2148.0;0.65;356.8
2149.0;0.65;357.6
2150.0;0.65;358.5
2151.0;0.65;359.3
2152.0;0.65;0.1
2153.0;0.65;0.9
2154.0;0.66;1.7
2155.0;0.66;2.5
2156.0;0.66;3.3
2157.0;0.66;4.1
2158.0;0.66;4.9
2159.0;0.66;5.7
2160.0;0.66;6.5
2161.0;0.66;7.3
2162.0;0.67;8.1
2163.0;0.67;8.9
2164.0;0.67;9.6
2165.0;0.67;10.4
2166.0;0.67;11.2
2167.0;0.67;12.0
2168.0;0.67;12.7
2169.0;0.68;13.5
2170.0;0.68;14.2
2171.0;0.68;15.0
2172.0;0.68;15.7
2173.0;0.68;16.5
2174.0;0.69;17.2
2175.0;0.69;18.0
2176.0;0.69;18.7
2177.0;0.69;19.4
2178.0;0.69;20.1
2179.0;0.7;20.9
2180.0;0.7;21.6
2181.0;0.7;22.3
2182.0;0.7;23.0
2183.0;0.7;23.7
2184.0;0.71;24.4
2185.0;0.71;25.1
2186.0;0.71;25.8
2187.0;0.71;26.4
2188.0;0.72;27.1
2189.0;0.72;27.8
2190.0;0.72;28.5
2191.0;0.72;29.1
2192.0;0.73;29.8
2193.0;0.73;30.5
2194.0;0.73;31.1
2195.0;0.73;31.8
2196.0;0.74;32.4
2197.0;0.74;33.0
2198.0;0.74;33.7
2199.0;0.74;34.3
2200.0;0.75;34.9
2201.0;0.75;35.6
2202.0;0.75;36.2
2203.0;0.75;36.8
2204.0;0.76;37.4
2205.0;0.76;38.0
2206.0;0.76;38.6
2207.0;0.76;39.2
2208.0;0.77;39.8
2209.0;0.77;40.4
2210.0;0.77;41.0
2211.0;0.77;41.6
2212.0;0.78;42.1
2213.0;0.78;42.7
2214.0;0.78;43.3
2215.0;0.78;43.9
2216.0;0.79;44.4
2217.0;0.79;45.0
2218.0;0.79;45.5
2219.0;0.79;46.1
2220.0;0.8;46.6
2221.0;0.8;47.2
2222.0;0.8;47.7
2223.0;0.8;48.3
2224.0;0.81;48.8
2225.0;0.81;49.3
2226.0;0.81;49.9
2227.0;0.81;50.4
2228.0;0.81;50.9
2229.0;0.82;51.4
2230.0;0.82;52.0
2231.0;0.82;52.5
2232.0;0.82;53.0
2233.0;0.83;53.5
2234.0;0.83;54.0
2235.0;0.83;54.5
2236.0;0.83;55.0
2237.0;0.83;55.5
2238.0;0.84;56.0
2239.0;0.84;56.5
2240.0;0.84;57.0
2241.0;0.84;57.5
2242.0;0.84;58.0
2243.0;0.85;58.5
2244.0;0.85;58.9
2245.0;0.85;59.4
2246.0;0.85;59.9
2247.0;0.85;60.4
2248.0;0.86;60.9
2249.0;0.86;61.3
2250.0;0.86;61.8
2251.0;0.86;62.3
2252.0;0.86;62.7
2253.0;0.86;63.2
2254.0;0.87;63.7
2255.0;0.87;64.1
2256.0;0.87;64.6
2257.0;0.87;65.1
2258.0;0.87;65.5
2259.0;0.87;66.0
2260.0;0.87;66.4
2261.0;0.87;66.9
2262.0;0.88;67.3
2263.0;0.88;67.8
2264.0;0.88;68.2
2265.0;0.88;68.7
2266.0;0.88;69.1
2267.0;0.88;69.6
2268.0;0.88;70.0
2269.0;0.88;70.5
2270.0;0.88;70.9
2271.0;0.88;71.4
2272.0;0.88;71.8
2273.0;0.88;72.3
2274.0;0.89;72.7
2275.0;0.89;73.1
2276.0;0.89;73.6
2277.0;0.89;74.0
2278.0;0.89;74.5
2279.0;0.89;74.9
2280.0;0.89;75.4
2281.0;0.89;75.8
2282.0;0.89;76.2
2283.0;0.89;76.7
2284.0;0.89;77.1
2285.0;0.89;77.6
2286.0;0.89;78.0
2287.0;0.89;78.4
2288.0;0.89;78.9
2289.0;0.89;79.3
2290.0;0.89;79.8
2291.0;0.89;80.2
2292.0;0.88;80.6
2293.0;0.88;81.1
2294.0;0.88;81.5
2295.0;0.88;82.0
2296.0;0.88;82.4
2297.0;0.88;82.9
2298.0;0.88;83.3
2299.0;0.88;83.8
2300.0;0.88;84.2
2301.0;0.88;84.7
2302.0;0.88;85.1
2303.0;0.87;85.6
2304.0;0.87;86.0
2305.0;0.87;86.5
2306.0;0.87;86.9
2307.0;0.87;87.4
2308.0;0.87;87.9
2309.0;0.86;88.3
2310.0;0.86;88.8
2311.0;-0.85;269.3
2312.0;-0.85;269.7
2313.0;-0.85;270.2
2314.0;-0.84;270.7
2315.0;-0.84;271.2
2316.0;-0.84;271.6
2317.0;-0.84;272.1
2318.0;-0.84;272.6
2319.0;-0.83;273.1
2320.0;-0.83;273.6
2321.0;-0.83;274.1
2322.0;-0.83;274.6
2323.0;-0.82;275.1
2324.0;-0.82;275.6
2325.0;-0.82;276.1
2326.0;-0.81;276.6
2327.0;-0.81;277.1
2328.0;-0.81;277.6
2329.0;-0.8;278.1
2330.0;-0.8;278.7
2331.0;-0.8;279.2
2332.0;-0.79;279.7
2333.0;-0.79;280.3
2334.0;-0.79;280.8
2335.0;-0.78;281.3
2336.0;-0.78;281.9
2337.0;-0.78;282.5
2338.0;-0.77;283.0
2339.0;-0.77;283.6
2340.0;-0.77;284.2
2341.0;-0.76;284.7
2342.0;-0.76;285.3
2343.0;-0.75;285.9
2344.0;-0.75;286.5
2345.0;-0.74;287.1
2346.0;-0.74;287.7
2347.0;-0.74;288.4
2348.0;-0.73;289.0
2349.0;-0.73;289.6
2350.0;-0.72;290.3
2351.0;-0.72;290.9
2352.0;-0.71;291.6
2353.0;-0.71;292.2
2354.0;-0.7;292.9
2355.0;-0.7;293.6
2356.0;-0.69;294.3
2357.0;-0.69;295.0
2358.0;-0.68;295.7
2359.0;-0.68;296.4
2360.0;-0.67;297.2
2361.0;-0.67;297.9
2362.0;-0.66;298.7
2363.0;-0.66;299.4
2364.0;-0.65;300.2
2365.0;-0.65;301.0
2366.0;-0.64;301.8
2367.0;-0.64;302.6
2368.0;-0.63;303.5
2369.0;-0.63;304.3
2370.0;-0.62;305.2
2371.0;-0.62;306.1
2372.0;-0.61;306.9
2373.0;-0.61;307.8
2374.0;-0.6;308.8
2375.0;-0.6;309.7
2376.0;-0.59;310.7
2377.0;-0.59;311.6
2378.0;-0.58;312.6
2379.0;-0.58;313.6
2380.0;-0.57;314.6
2381.0;-0.57;315.7
2382.0;-0.56;316.7
2383.0;-0.56;317.8
2384.0;-0.55;318.9
2385.0;-0.55;320.0
2386.0;-0.54;321.1
2387.0;-0.54;322.3
2388.0;-0.53;323.5
2389.0;-0.53;324.7
2390.0;-0.52;325.9
2391.0;-0.52;327.1
2392.0;-0.51;328.4
2393.0;-0.51;329.6
2394.0;-0.5;330.9
2395.0;-0.5;332.3
2396.0;-0.5;333.6
2397.0;-0.49;335.0
2398.0;-0.49;336.4
2399.0;-0.49;337.8
2400.0;-0.48;339.2
2401.0;-0.48;340.6
2402.0;-0.48;342.1
2403.0;-0.47;343.5
2404.0;-0.47;345.0
2405.0;-0.47;346.5
2406.0;-0.47;348.1
2407.0;-0.46;349.6
2408.0;-0.46;351.2
2409.0;-0.46;352.7
2410.0;-0.46;354.3
2411.0;-0.46;355.9
2412.0;-0.46;357.5
2413.0;0.47;179.1
2414.0;0.46;180.7
2415.0;0.46;182.3
2416.0;0.46;183.9
2417.0;0.46;185.5
2418.0;0.46;187.2
2419.0;0.46;188.8
2420.0;0.46;190.4
2421.0;0.46;192.0
2422.0;0.47;193.6
2423.0;0.47;195.2
2424.0;0.47;196.8
2425.0;0.47;198.4
2426.0;0.47;199.9
2427.0;0.47;201.5
2428.0;0.48;203.0
2429.0;0.48;204.5
2430.0;0.48;206.1
2431.0;0.48;207.6
2432.0;0.49;209.0
2433.0;0.49;210.5
2434.0;0.49;212.0
2435.0;0.49;213.4
2436.0;0.5;214.8
2437.0;0.5;216.2
2438.0;0.5;217.6
2439.0;0.51;218.9
2440.0;0.51;220.2
2441.0;0.52;221.6
2442.0;0.52;222.9
2443.0;0.52;224.1
2444.0;0.53;225.4
2445.0;0.53;226.6
2446.0;0.54;227.9
2447.0;0.54;229.1
2448.0;0.54;230.2
2449.0;0.55;231.4
2450.0;0.55;232.6
2451.0;0.56;233.7
2452.0;0.56;234.8
2453.0;0.56;235.9
2454.0;0.57;237.0
2455.0;0.57;238.0
2456.0;0.58;239.1
2457.0;0.58;240.1
2458.0;0.59;241.1
2459.0;0.59;242.1
2460.0;0.59;243.1
2461.0;0.6;244.1
2462.0;0.6;245.1
2463.0;0.61;246.0
2464.0;0.61;247.0
2465.0;0.61;247.9
2466.0;0.62;248.8
2467.0;0.62;249.7
2468.0;0.63;250.6
2469.0;0.63;251.5
2470.0;0.63;252.3
2471.0;0.64;253.2
2472.0;0.64;254.1
2473.0;0.64;254.9
2474.0;0.65;255.7
2475.0;0.65;256.6
2476.0;0.65;257.4
2477.0;0.66;258.2
2478.0;0.66;259.0
2479.0;0.66;259.8
2480.0;0.67;260.6
2481.0;0.67;261.3
2482.0;0.67;262.1
2483.0;0.67;262.9
